SI,Course_ID,Course_Title,01_960_463_01,01_960_486_01,CALCULUS_1,CALCULUS_1_152,CS461_SPRING2023,CS462__INTRODUCTION_TO_DEEP_LEARNING,DATA_STRUCTURES,DMDS_DESCRIPTION,INTERMEDIATE_STAT_ANALYSIS_384:484,INTRODUCTION_TO_COMPUTER_SCIENCE,LINEAR_ALGEBRA,RUTGERS_NB_DATA_101_COURSE_DETAILS_AUG_16_2022,STATISTICS_II,STATISTICS_REPORT_01,STAT_METHODS_IN_BUS,SYLLABUS_-_DATA_IN_CONTEXT_-_FALL_2024_-_10516,SYLLABUS_FOR_2021SP_-_DISCRT_II_01_198_206
BE,MAT285,DISCRETE MATHEMATICS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT286,LINEAR ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT287,OBJECT-ORIENTED PROGRAMMING IN C++,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT288,DISCRETE MATHEMATICS FOR COMPUTER SCIENCE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT289,SYSTEMS ANALYSIS AND DESIGN FOR COMPUTER SCIENCE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT461,CO-OP WORK EXPERIENCE (COMPUTER SCIENCE),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT462,CO-OP WORK EXPERIENCE (COMPUTER SCIENCE),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT463,CO-OP WORK EXPERIENCE (COMPUTER SCIENCE),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP101,ADAPTIVE COMPUTER TECHNOLOGY I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP105,INTRODUCTION TO THE INTERNET,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP116,INTRODUCTION TO DIGITAL PROGRAMMING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP126,COMPUTER LOGIC AND DESIGN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP128,FUNDAMENTALS OF PROGRAMMING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP129,INFORMATION TECHNOLOGY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP131,PROGRAMMING USING COBOL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP132,STRUCTURED PROGRAMMING USING C++,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP135,COMPUTER ARCHITECTURE USING ASSEMBLY LANGUAGE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP137,PROGRAMMING FOR ENGINEERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP138,PROGRAMMING USING PYTHON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP140,DESIGNING/DEVELOPING WEB SITES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP145,INTRODUCTION TO UNIX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP165,INTRODUCTION TO ORACLE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP166,WEB DESIGN USING HTML,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP167,CLIENT SIDE SCRIPTING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP168,SERVER SIDE SCRIPTING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP171,PROGRAMMING I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP175,GAME DESIGN AND DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP185,PROGRAMMING IN C#,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP190,MCSE WINDOWS 2000 PROFESSIONAL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP191,MCSE WINDOWS 2000 SERVER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP192,MCSE WINDOWS 2000 NETWORK INFRASTRUCTURE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP193,MCSE WINDOWS 2000 DIRECT SERVICES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP194,MCSE DESIGN WINDOWS 2000 DIRECT SERVICES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP195,MCSE DESIGN SECURITY WINDOWS 2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
